round_epochs,val_loss,val_acc,loss,acc,lr,batch_size,num_epochs,keep_prob,num_cells,hidden_layer_size,hidden_activation,optimizer
18,0.03137195223633593,0.9841117605442121,0.04322287039686354,0.9802706654925897,0.001,168,150,0.7,7,181,<function tanh at 0x7fbb514b4620>,adam
16,0.056369463764093394,0.9751562884825999,0.08233812174059658,0.9651461588394542,0.001,128,150,0.5,5,134,<function tanh at 0x7fbb514b4620>,adam
26,0.030322694875951784,0.9844785771101048,0.04290362643638589,0.9803866083829836,0.001,245,150,0.5,5,386,<function tanh at 0x7fbb514b4620>,adam
13,0.030139169050907418,0.984520496979034,0.035082864581738746,0.9831272299482334,0.001,128,150,0.8,6,251,<function tanh at 0x7fbb514b4620>,adam
20,0.03253286323242533,0.9839755188163002,0.04647622790752956,0.978893809378251,0.001,85,150,0.6,3,181,<function tanh at 0x7fbb514b4620>,adam
23,0.03343402473858172,0.9836034629008401,0.05064352140897094,0.9775202178979581,0.001,168,150,0.5,4,250,<function tanh at 0x7fbb514b4620>,adam
19,0.05915332479209954,0.9742078162536831,0.0836343734817983,0.9643581670990236,0.001,245,150,0.4,7,251,<function tanh at 0x7fbb514b4620>,adam
12,0.03672576541336813,0.9825659004508508,0.051826892987986456,0.9768913888739873,0.001,86,150,0.7,3,143,<function tanh at 0x7fbb514b4620>,adam
14,0.032450117298088964,0.9839335978838556,0.04289929308568242,0.9803636826080715,0.001,245,150,0.7,6,263,<function tanh at 0x7fbb514b4620>,adam
24,0.030792247919978154,0.9845204977261496,0.03701688958009114,0.9825023377469012,0.001,245,150,0.8,3,134,<function tanh at 0x7fbb514b4620>,adam
16,0.03273220028682881,0.9838811815002704,0.0457594461674526,0.9792134475955646,0.001,188,150,0.7,7,181,<function tanh at 0x7fbb514b4620>,adam
