round_epochs,val_loss,val_acc,loss,acc,lr,batch_size,num_epochs,num_cells,hidden_layer_size
14,0.06040194856389515,0.9740086882247829,0.05138045254772224,0.9777737166273714,0.001,128,150,1,396
17,0.05400745673024937,0.9765449371963969,0.04211261310701234,0.9816547353996729,0.001,128,150,1,614
18,0.05573355971202915,0.9758741936667138,0.04459489842278808,0.9805372640029449,0.001,128,150,1,375
14,0.05718372890706435,0.9758951544020165,0.047451541101087624,0.9793713208105794,0.001,128,150,1,706
19,0.05196271365146797,0.9776401356159574,0.03653899270450031,0.9839715562263004,0.001,128,150,1,931
12,0.06351334436328297,0.9726881619007195,0.05526765045136797,0.9762029684389658,0.001,128,150,1,457
15,0.12073991651613475,0.9504750226594223,0.1207305277563783,0.9500596399594013,0.001,128,150,1,30
17,0.0552896672942919,0.9765606577456875,0.04280855646311841,0.9814267869553227,0.001,128,150,1,608
14,0.06404073085702136,0.9726252796948117,0.05694821706925055,0.9756272021097021,0.001,128,150,1,320
17,0.054788877219382984,0.9760261589976577,0.041823854691354335,0.9818106311748319,0.001,128,150,1,685
